full_name,age,monthly_income,loan_amount,loan_term_months,credit_history_years,late_payments_12m,existing_debt,num_credit_cards,credit_utilization,employment_years,employment_type,home_ownership,loan_purpose,collateral_type,number_of_dependents,recent_credit_inquiries,default
KH_00000,23,9173563.0,138367562.0,18,4.14,1,46332504.0,4,0.231,11.08,unemployed,own,medical,none,0,0,1
KH_00001,62,24632946.0,437343266.0,12,20.54,0,22246846.0,2,0.186,20.22,contract,rent,home,savings,1,1,0
KH_00002,55,12127528.0,28999809.0,24,16.79,1,24723107.0,2,0.388,14.21,unemployed,own,debt_consolidation,none,0,3,0
KH_00003,43,6162476.0,167461402.0,84,2.06,0,11097048.0,2,0.138,7.74,full_time,own,personal,real_estate,3,1,0
KH_00004,42,14932134.0,204715334.0,36,21.06,0,20928671.0,6,0.596,2.15,full_time,rent,personal,vehicle,1,1,0
KH_00005,66,42582816.0,139978307.0,24,16.74,1,4912174.0,0,0.597,19.52,full_time,rent,medical,real_estate,0,2,0
KH_00006,22,24284883.0,38245591.0,48,6.71,1,289759609.0,4,0.368,25.9,full_time,mortgage,business,none,2,2,1
KH_00007,57,66816353.0,36401937.0,36,9.4,0,117313769.0,3,0.389,24.32,full_time,mortgage,vehicle,none,1,0,1
KH_00008,29,20197753.0,97751340.0,24,11.36,1,408536384.0,7,0.635,16.28,full_time,own,debt_consolidation,vehicle,3,2,1
KH_00009,23,88362136.0,97169870.0,36,22.28,1,109412980.0,4,0.215,26.79,full_time,rent,personal,none,2,0,0
KH_00010,48,20201575.0,55940628.0,36,13.06,0,48047310.0,5,0.512,21.27,full_time,rent,vehicle,real_estate,0,0,0
KH_00011,73,18264951.0,269805447.0,36,20.51,0,3965478.0,7,0.205,1.54,contract,rent,home,none,0,0,1
KH_00012,59,7836311.0,64018418.0,48,0.62,1,99923055.0,7,0.307,22.04,contract,mortgage,education,real_estate,0,2,1
KH_00013,61,37048858.0,17996261.0,24,12.87,0,136411178.0,5,0.261,18.57,full_time,rent,personal,none,3,3,0
KH_00014,58,12987540.0,74392984.0,24,2.54,2,11357573.0,5,0.392,4.2,part_time,rent,personal,none,0,1,0
KH_00015,62,11819974.0,135374094.0,36,9.15,2,62029714.0,1,0.487,21.07,full_time,mortgage,vehicle,none,3,0,0
KH_00016,47,41395477.0,120358724.0,60,13.31,1,41333089.0,1,0.162,21.68,self_employed,rent,personal,none,0,0,0
KH_00017,25,38214556.0,119569629.0,24,20.79,0,33082322.0,8,0.363,5.27,self_employed,rent,personal,none,0,2,0
KH_00018,65,37569973.0,320441692.0,60,6.62,1,61512087.0,3,0.386,7.15,full_time,family,education,none,1,0,0
KH_00019,43,14224240.0,34891306.0,36,6.77,0,56620164.0,1,0.627,20.6,full_time,own,personal,none,0,0,0
KH_00020,46,17413355.0,62781320.0,6,21.41,1,13123683.0,4,0.653,21.44,full_time,mortgage,personal,vehicle,2,1,0
KH_00021,39,17313151.0,334656825.0,24,13.07,1,93596924.0,5,0.652,14.48,full_time,family,personal,none,0,0,1
KH_00022,28,29934408.0,16904203.0,18,18.89,2,8249824.0,1,0.44,15.51,full_time,rent,business,none,0,0,0
KH_00023,70,49411777.0,85984701.0,12,23.35,1,57749231.0,2,0.068,25.85,full_time,rent,business,none,2,2,0
KH_00024,62,22866364.0,255799163.0,18,1.08,0,47633442.0,6,0.366,22.48,full_time,rent,business,none,0,3,0
KH_00025,54,64978144.0,252578852.0,48,15.59,4,16720301.0,1,0.733,1.46,full_time,rent,vehicle,none,0,1,1
KH_00026,40,32250970.0,157733766.0,36,1.74,1,123501933.0,4,0.314,7.47,full_time,rent,personal,savings,1,1,0
KH_00027,64,15452212.0,161165708.0,36,23.48,2,5340571.0,7,0.35,15.38,self_employed,rent,home,none,1,2,1
KH_00028,49,30846836.0,37149117.0,24,11.61,0,46390593.0,2,0.399,10.48,part_time,mortgage,home,none,1,0,0
KH_00029,43,54556286.0,289168682.0,24,11.42,3,43069347.0,5,0.827,7.1,self_employed,rent,personal,vehicle,0,0,0
KH_00030,43,65973926.0,32451842.0,60,4.81,0,172226701.0,7,0.669,24.77,self_employed,rent,debt_consolidation,vehicle,0,0,0
KH_00031,30,38933347.0,34139621.0,84,15.78,2,68360156.0,4,0.105,28.01,full_time,own,personal,savings,1,0,0
KH_00032,23,18302912.0,125148706.0,48,13.72,0,3827018.0,3,0.221,14.03,full_time,rent,medical,savings,1,2,0
KH_00033,49,15635143.0,59189689.0,18,23.02,0,22199796.0,2,0.543,27.38,full_time,mortgage,personal,vehicle,0,1,0
KH_00034,68,26175319.0,107286397.0,60,0.52,1,177788051.0,7,0.42,14.65,full_time,family,personal,none,2,0,1
KH_00035,21,53434424.0,129795702.0,60,18.79,0,30014065.0,7,0.688,12.16,full_time,mortgage,vehicle,guarantor,2,2,0
KH_00036,66,23862822.0,407973797.0,12,23.24,0,11544575.0,7,0.338,2.04,unemployed,mortgage,medical,vehicle,1,0,1
KH_00037,65,24187053.0,130122403.0,24,22.26,0,33282494.0,7,0.498,25.35,full_time,family,personal,none,2,2,0
KH_00038,33,18611513.0,53199847.0,24,15.9,0,187425195.0,3,0.208,8.28,contract,own,education,real_estate,0,0,0
KH_00039,54,14544931.0,159944109.0,48,20.84,2,14989580.0,7,0.235,11.88,self_employed,own,business,none,1,0,0
KH_00040,27,16199564.0,44381317.0,36,1.99,3,12274099.0,0,0.462,27.26,full_time,rent,education,vehicle,0,0,1
KH_00041,61,19656315.0,195584374.0,18,1.5,3,27873765.0,0,0.487,22.14,full_time,mortgage,personal,savings,2,0,0
KH_00042,57,54989197.0,95082354.0,18,17.12,0,18285867.0,4,0.298,4.4,full_time,rent,vehicle,real_estate,1,0,1
KH_00043,38,15402931.0,126503745.0,24,6.01,0,73156117.0,1,0.306,6.58,self_employed,mortgage,medical,none,0,1,1
KH_00044,21,18626208.0,19811326.0,36,17.71,1,24608524.0,8,0.453,2.13,full_time,family,business,none,1,2,1
KH_00045,73,10256137.0,13285536.0,24,18.82,0,49752268.0,1,0.531,17.75,part_time,family,vehicle,guarantor,2,1,0
KH_00046,43,28679482.0,25118361.0,18,16.43,2,178525324.0,2,0.27,5.93,full_time,mortgage,education,guarantor,0,0,0
KH_00047,68,43759697.0,396912121.0,36,22.43,1,13560312.0,2,0.259,25.84,full_time,mortgage,education,none,1,0,0
KH_00048,56,51743321.0,33915701.0,120,5.84,2,98718668.0,2,0.368,3.04,full_time,mortgage,business,guarantor,0,0,0
KH_00049,62,20543790.0,167716156.0,12,20.19,1,86534279.0,1,0.272,12.03,unemployed,own,business,none,2,2,0
KH_00050,61,26146152.0,52153330.0,36,20.06,3,10115556.0,8,0.426,1.74,self_employed,family,education,none,1,0,0
KH_00051,29,16290206.0,73389736.0,24,7.97,1,138672698.0,1,0.172,24.28,contract,rent,debt_consolidation,real_estate,0,1,1
KH_00052,38,25370419.0,86643106.0,18,5.54,1,10230491.0,6,0.242,13.02,full_time,own,personal,none,0,1,1
KH_00053,44,22075074.0,363951761.0,60,15.77,1,8161608.0,6,0.679,11.53,self_employed,mortgage,personal,none,2,2,0
KH_00054,46,18694766.0,147915235.0,84,22.95,1,15103005.0,1,0.662,23.65,full_time,own,vehicle,real_estate,0,0,0
KH_00055,20,19686077.0,124846857.0,24,16.81,1,15658852.0,6,0.392,7.19,full_time,rent,education,vehicle,1,1,0
KH_00056,49,24146061.0,270968706.0,24,2.47,1,24758181.0,0,0.579,4.42,full_time,rent,education,none,1,2,0
KH_00057,26,14867426.0,52540922.0,12,10.65,2,11553910.0,2,0.318,27.76,full_time,rent,debt_consolidation,none,0,1,0
KH_00058,60,15375093.0,223162722.0,36,9.63,2,61815038.0,8,0.543,20.61,self_employed,own,personal,none,3,2,0
KH_00059,56,54606726.0,193623756.0,6,14.93,1,30735667.0,7,0.493,8.5,full_time,own,education,vehicle,2,0,0
KH_00060,70,104818172.0,191756076.0,24,14.14,0,42070019.0,3,0.651,6.37,full_time,own,personal,savings,3,2,0
KH_00061,60,8227920.0,78889290.0,12,24.7,1,68974142.0,6,0.705,7.66,self_employed,rent,personal,none,0,2,0
KH_00062,38,7938430.0,62059401.0,36,21.86,2,160619914.0,1,0.272,28.65,self_employed,own,personal,none,0,4,0
KH_00063,73,9662210.0,42968168.0,60,13.36,0,22680388.0,3,0.336,25.23,full_time,mortgage,vehicle,real_estate,3,1,0
KH_00064,41,16831200.0,45318016.0,12,3.71,0,18930385.0,0,0.262,28.74,full_time,mortgage,vehicle,none,1,1,0
KH_00065,36,32221344.0,41278777.0,48,4.25,1,77900859.0,0,0.352,27.34,contract,own,personal,guarantor,2,2,0
KH_00066,69,26434928.0,122931866.0,60,4.09,2,122748631.0,8,0.213,1.43,self_employed,rent,business,none,0,0,0
KH_00067,39,20129613.0,74122846.0,12,12.03,1,37902368.0,5,0.494,19.75,full_time,rent,vehicle,none,1,0,0
KH_00068,22,25385544.0,129865570.0,60,3.53,0,37554160.0,1,0.053,6.09,full_time,own,personal,real_estate,2,1,0
KH_00069,44,11478960.0,136252446.0,36,4.05,0,28377948.0,7,0.252,26.87,part_time,family,home,none,3,5,0
KH_00070,63,15358852.0,36562277.0,36,3.59,0,18892548.0,4,0.638,17.43,self_employed,mortgage,home,none,2,1,0
KH_00071,28,17766423.0,35641348.0,36,17.38,2,23598209.0,2,0.649,8.71,part_time,family,debt_consolidation,vehicle,0,0,0
KH_00072,44,6427792.0,74102431.0,18,7.01,0,32286164.0,8,0.299,1.34,unemployed,rent,business,vehicle,1,0,1
KH_00073,25,8461446.0,46570023.0,6,22.23,0,67843698.0,1,0.089,11.18,full_time,rent,personal,real_estate,3,2,0
KH_00074,57,8682885.0,42583181.0,24,12.74,0,80908403.0,6,0.541,10.5,full_time,rent,personal,savings,2,2,0
KH_00075,45,29578333.0,380369682.0,48,16.38,0,14003340.0,2,0.153,28.77,contract,rent,education,none,2,2,0
KH_00076,36,21112230.0,24445792.0,60,13.73,1,37294444.0,8,0.19,25.3,full_time,own,education,real_estate,2,1,0
KH_00077,30,26777488.0,502408952.0,24,21.81,1,17079666.0,6,0.254,29.85,self_employed,rent,personal,none,0,2,0
KH_00078,50,5444446.0,115048594.0,18,3.8,1,27071427.0,6,0.575,12.95,self_employed,mortgage,education,vehicle,0,1,1
KH_00079,56,6862374.0,208119454.0,12,18.67,0,39853208.0,8,0.271,9.45,full_time,rent,home,none,3,0,1
KH_00080,71,27700814.0,188272911.0,84,14.75,0,91360186.0,1,0.47,3.13,self_employed,rent,personal,guarantor,2,0,0
KH_00081,42,4000000.0,152052365.0,18,10.57,1,30424395.0,3,0.881,1.61,contract,rent,personal,none,1,0,1
KH_00082,27,39900180.0,369579806.0,60,17.46,4,54577412.0,3,0.074,26.18,full_time,rent,personal,none,1,1,0
KH_00083,65,5502572.0,35864770.0,12,13.06,0,12022600.0,7,0.616,9.79,full_time,mortgage,vehicle,vehicle,0,2,1
KH_00084,53,31141643.0,78798034.0,6,15.98,3,11249639.0,5,0.353,23.25,full_time,own,business,none,4,3,0
KH_00085,57,10102589.0,43592704.0,18,13.84,1,27013889.0,6,0.245,22.76,self_employed,own,education,savings,1,0,0
KH_00086,23,35593362.0,21287969.0,24,3.67,0,700000000.0,3,0.06,7.99,contract,rent,vehicle,vehicle,0,2,0
KH_00087,35,144846759.0,51303282.0,24,9.64,0,15941312.0,7,0.059,16.72,part_time,mortgage,personal,real_estate,0,3,0
KH_00088,61,4107466.0,442073113.0,60,24.58,0,40795876.0,0,0.266,6.15,full_time,family,medical,none,4,2,1
KH_00089,65,28285998.0,77661759.0,36,2.09,1,52639110.0,5,0.212,17.11,self_employed,family,vehicle,guarantor,2,1,0
KH_00090,42,5557042.0,485800491.0,12,5.32,4,36147735.0,8,0.141,18.47,contract,mortgage,personal,savings,3,2,1
KH_00091,63,23754490.0,529939452.0,36,17.34,2,19250656.0,8,0.376,2.92,full_time,family,medical,vehicle,0,1,1
KH_00092,65,15736295.0,1147878207.0,24,3.79,2,61016098.0,0,0.39,28.65,full_time,own,business,none,3,1,1
KH_00093,40,19584340.0,454627652.0,36,1.6,0,14075695.0,8,0.193,13.46,contract,rent,personal,none,2,1,1
KH_00094,69,9952021.0,667955634.0,48,19.4,0,51185489.0,6,0.185,1.15,full_time,own,personal,savings,1,0,1
KH_00095,34,29895964.0,118652859.0,120,5.33,0,19542733.0,0,0.817,26.32,full_time,rent,debt_consolidation,real_estate,5,1,0
KH_00096,31,7021235.0,109277298.0,36,5.85,2,94771435.0,8,0.495,18.23,contract,own,medical,savings,2,3,0
KH_00097,56,40343729.0,115633202.0,24,11.79,0,5853252.0,4,0.397,9.38,full_time,rent,personal,vehicle,1,5,0
KH_00098,54,13795729.0,90004759.0,24,21.81,2,31354972.0,3,0.596,25.12,full_time,mortgage,personal,guarantor,1,2,1
